OfficeID,OfficeName,LanguageID,LanguageName,BookmarkName,Translation,OfficeElement
48,"Perth - Law",15,English (AUS),bmkAOAddress,"Level 27, Exchange Plaza
2 The Esplanade
Perth WA 6000
Australia

GPO Box 2508
St Georges Terrace
Perth WA 6831",Address
49,"Mannheim",1,English (UK),bmkAOAddress,"Am Victoria-Turm 2
68163 Mannheim
Germany",Address
49,"Mannheim",6,German,bmkAOAddress,"Am Victoria-Turm 2
68163 Mannheim",Address
50,"Jakarta",1,English (UK),bmkAOAddress,"The Energy Building, 15th Floor 
SCBD Lot 11A 
JI. Jend. Sudirman Kav. 52-53 
Jakarta 12190 
Indonesia",Address
50,"Jakarta",14,English (US),bmkAOAddress,"The Energy Building, 15th Floor
SCBD Lot 11A
JI. Jend. Sudirman Kav. 52-53
Jakarta 12190
Indonesia",Address
54,"A&O Holdings",1,English (UK),bmkAOAddress,"One Bishops Square
London  E1 6AD  United Kingdom",Address
57,"Belfast - Law",1,English (UK),bmkAOAddress,"68 Donegall Quay
Belfast
BT1 3NL",Address
58,"Belfast - Admin",1,English (UK),bmkAOAddress,"68 Donegall Quay
Belfast
BT1 3NL",Address
59,"Washington, D.C.",14,English (US),bmkAOAddress,"1301 K Street, NW
9th Floor, East Tower
Washington, D.C. 20005",Address
61,"Casablanca",1,English (UK),bmkAOAddress,"Twin Center - Tour A, 7th floor
Corner of Bds Zerktouni and Massira Al Khadra
Casablanca
Morocco",Address
61,"Casablanca",2,French,bmkAOAddress,"Twin Center - Tour A, 7ème étage
Angle Bds Zerktouni et Massira Al Khadra 
Casablanca
Maroc",Address
64,"Singapore - AOA",1,English (UK),bmkAOAddress,"50 Collyer Quay 
#09-01 OUE Bayfront 
Singapore 049321",Address
65,"Singapore",1,English (UK),bmkAOAddress,"50 Collyer Quay 
#09-01 OUE Bayfront 
Singapore 049321",Address
66,"Istanbul - Admin",1,English (UK),bmkAOAddress,"Büyükdere Caddesi No:185 
Kanyon Ofis Binası Kat:6 
Ofis No: 1015-1016-1017-1022-1023-1024-1025-1026-1027-1028-1029-1030 
Levent/İstanbul 
Zip Code: 34394
Turkey ",Address
66,"Istanbul - Admin",18,Turkish,bmkAOAddress,"",Address
67,"Istanbul - Law",1,English (UK),bmkAOAddress,"Büyükdere Caddesi No:185 
Kanyon Ofis Binası Kat:6 
Ofis No:1018-1019-1020-1021 
Levent/İstanbul 
Zip Code: 34394
Turkey",Address
67,"Istanbul - Law",18,Turkish,bmkAOAddress,"",Address
68,"Ho Chi Minh City",1,English (UK),bmkAOAddress,"39th Floor, Bitexco Financial Tower
2 Hai Trieu, Ben Nghe Ward 
District 1 
Ho Chi Minh City, Vietnam
",Address
68,"Ho Chi Minh City",19,Vietnamese,bmkAOAddress,"Tầng 39, Tháp Tài Chính Bitexco
2 Hải Triều, Phường Bến Nghé 
Quận 1
Tp. Hồ Chí Minh, Việt Nam
",Address
69,"Hanoi",1,English (UK),bmkAOAddress,"5th Floor, Pacific Place
83B Ly Thuong Kiet
Hoan Kiem District 
Hanoi, Vietnam
",Address
69,"Hanoi",19,Vietnamese,bmkAOAddress,"Tầng 5, Tòa Nhà Pacific Place
83B Lý Thường Kiệt
Quận Hoàn Kiếm 
Hà Nội, Việt Nam
",Address
70,"Istanbul GE - Admin",1,English (UK),bmkAOAddress,"Kanyon Ofis Binası, 6th Floor, Office #1015
Büyükdere Caddesi No: 185
TR-34394 Levent Istanbul
Turkey",Address
70,"Istanbul GE - Admin",18,Turkish,bmkAOAddress,"Kanyon Ofis Binasi, 6. Kat, Ofis No.: 1015 
Büyükdere Caddesi No: 185 
TR-34394 Levent Istanbul 
Türkiye",Address
71,"Istanbul GE - Law",1,English (UK),bmkAOAddress,"Kanyon Ofis Binası, 6th Floor, Office #1015
Büyükdere Caddesi No: 185
TR-34394 Levent Istanbul
Turkey",Address
71,"Istanbul GE - Law",18,Turkish,bmkAOAddress,"Kanyon Ofis Binası, 6. Kat, Ofis No.: 1015
Büyükdere Caddesi No: 185
TR-34394 Levent Istanbul
Türkiye",Address
1,"Amsterdam",1,English (UK),bmkLocation,"Amsterdam",Location
1,"Amsterdam",10,Dutch,bmkLocation,"Amsterdam",Location
2,"Antwerp",1,English (UK),bmkLocation,"Antwerp",Location
2,"Antwerp",6,German,bmkLocation,"Antwerpen",Location
2,"Antwerp",7,Dutch (Belgium),bmkLocation,"Antwerpen",Location
2,"Antwerp",8,French (Belgium),bmkLocation,"Anvers",Location
4,"Budapest",1,English (UK),bmkLocation,"Budapest",Location
4,"Budapest",11,Hungarian,bmkLocation,"Budapest",Location
5,"Bratislava",1,English (UK),bmkLocation,"Bratislava",Location
5,"Bratislava",3,Slovak,bmkLocation,"Bratislava",Location
6,"Brussels",1,English (UK),bmkLocation,"Brussels",Location
6,"Brussels",6,German,bmkLocation,"Brüssel",Location
6,"Brussels",7,Dutch (Belgium),bmkLocation,"Brussel",Location
6,"Brussels",8,French (Belgium),bmkLocation,"Bruxelles",Location
8,"Frankfurt",1,English (UK),bmkLocation,"Frankfurt am Main",Location
8,"Frankfurt",6,German,bmkLocation,"Frankfurt am Main",Location
12,"Luxembourg Office",1,English (UK),bmkLocation,"Luxembourg",Location
12,"Luxembourg Office",2,French,bmkLocation,"Luxembourg",Location
12,"Luxembourg Office",6,German,bmkLocation,"Luxemburg",Location
15,"Milan",1,English (UK),bmkLocation,"Milan",Location
15,"Milan",4,Italian,bmkLocation,"Milano",Location
16,"Moscow",1,English (UK),bmkLocation,"Moscow",Location
16,"Moscow",13,Russian,bmkLocation,"Москва",Location
17,"New York",1,English (UK),bmkLocation,"New York",Location
17,"New York",14,English (US),bmkLocation,"New York",Location
18,"Paris",1,English (UK),bmkLocation,"Paris",Location
18,"Paris",2,French,bmkLocation,"Paris",Location
26,"Warsaw - Admin",1,English (UK),bmkLocation,"Warsaw",Location
26,"Warsaw - Admin",5,Polish,bmkLocation,"Warszawa",Location
27,"Warsaw - Law",1,English (UK),bmkLocation,"Warsaw",Location
27,"Warsaw - Law",5,Polish,bmkLocation,"Warszawa",Location
28,"Hamburg",1,English (UK),bmkLocation,"Hamburg",Location
28,"Hamburg",6,German,bmkLocation,"Hamburg",Location
29,"Rome",1,English (UK),bmkLocation,"Rome",Location
29,"Rome",4,Italian,bmkLocation,"Roma",Location
34,"Düsseldorf",1,English (UK),bmkLocation,"Düsseldorf",Location
34,"Düsseldorf",6,German,bmkLocation,"Düsseldorf",Location
38,"Munich",1,English (UK),bmkLocation,"Munich",Location
38,"Munich",6,German,bmkLocation,"München",Location
49,"Mannheim",1,English (UK),bmkLocation,"Mannheim ",Location
49,"Mannheim",6,German,bmkLocation,"Mannheim ",Location
1,"Amsterdam",1,English (UK),bmkOfficeTitle,"Allen & Overy LLP",OfficeTitle
1,"Amsterdam",10,Dutch,bmkOfficeTitle,"Allen & Overy LLP",OfficeTitle
2,"Antwerp",1,English (UK),bmkOfficeTitle,"Allen & Overy LLP",OfficeTitle
2,"Antwerp",6,German,bmkOfficeTitle,"Allen & Overy LLP",OfficeTitle
2,"Antwerp",7,Dutch (Belgium),bmkOfficeTitle,"Allen & Overy LLP",OfficeTitle
2,"Antwerp",8,French (Belgium),bmkOfficeTitle,"Allen & Overy LLP",OfficeTitle
3,"Beijing",1,English (UK),bmkOfficeTitle,"Allen & Overy LLP, Beijing office",OfficeTitle
4,"Budapest",1,English (UK),bmkOfficeTitle,"Morley Allen & Overy Iroda",OfficeTitle
4,"Budapest",11,Hungarian,bmkOfficeTitle,"Morley Allen & Overy Iroda",OfficeTitle
5,"Bratislava",1,English (UK),bmkOfficeTitle,"Allen & Overy Bratislava, s.r.o.",OfficeTitle
5,"Bratislava",3,Slovak,bmkOfficeTitle,"Allen & Overy Bratislava, s.r.o.",OfficeTitle
6,"Brussels",1,English (UK),bmkOfficeTitle,"Allen & Overy LLP",OfficeTitle
6,"Brussels",6,German,bmkOfficeTitle,"Allen & Overy LLP",OfficeTitle
6,"Brussels",7,Dutch (Belgium),bmkOfficeTitle,"Allen & Overy LLP",OfficeTitle
6,"Brussels",8,French (Belgium),bmkOfficeTitle,"Allen & Overy LLP",OfficeTitle
7,"Dubai",1,English (UK),bmkOfficeTitle,"Allen & Overy LLP",OfficeTitle
8,"Frankfurt",1,English (UK),bmkOfficeTitle,"Allen & Overy LLP",OfficeTitle
8,"Frankfurt",6,German,bmkOfficeTitle,"Allen & Overy LLP",OfficeTitle
9,"Hong Kong - Law",1,English (UK),bmkOfficeTitle,"Allen & Overy",OfficeTitle
10,"London",1,English (UK),bmkOfficeTitle,"Allen & Overy LLP",OfficeTitle
10,"London",2,French,bmkOfficeTitle,"Allen & Overy LLP",OfficeTitle
10,"London",4,Italian,bmkOfficeTitle,"Allen & Overy LLP",OfficeTitle
10,"London",6,German,bmkOfficeTitle,"Allen & Overy LLP",OfficeTitle
12,"Luxembourg Office",1,English (UK),bmkOfficeTitle,"Avocats à la Cour",OfficeTitle
12,"Luxembourg Office",2,French,bmkOfficeTitle,"Avocats à la Cour",OfficeTitle
12,"Luxembourg Office",6,German,bmkOfficeTitle,"Avocats à la Cour",OfficeTitle
13,"Madrid",1,English (UK),bmkOfficeTitle,"Allen & Overy",OfficeTitle
13,"Madrid",12,Spanish,bmkOfficeTitle,"Allen & Overy",OfficeTitle
15,"Milan",1,English (UK),bmkOfficeTitle," ",OfficeTitle
15,"Milan",4,Italian,bmkOfficeTitle," ",OfficeTitle
16,"Moscow",1,English (UK),bmkOfficeTitle,"Allen & Overy Legal Services",OfficeTitle
16,"Moscow",13,Russian,bmkOfficeTitle,"Аллен энд Овери Легал Сервисиз",OfficeTitle
17,"New York",1,English (UK),bmkOfficeTitle,"Allen & Overy LLP",OfficeTitle
17,"New York",14,English (US),bmkOfficeTitle,"Allen & Overy LLP",OfficeTitle
18,"Paris",1,English (UK),bmkOfficeTitle,"Allen & Overy LLP",OfficeTitle
18,"Paris",2,French,bmkOfficeTitle,"Allen & Overy LLP",OfficeTitle
19,"Prague - Admin",1,English (UK),bmkOfficeTitle,"Allen & Overy LLP, organizační složka",OfficeTitle
19,"Prague - Admin",9,Czech,bmkOfficeTitle,"Allen & Overy LLP, organizační složka",OfficeTitle
20,"Prague - Law",1,English (UK),bmkOfficeTitle,"Allen & Overy (Czech Republic) LLP, organizační složka",OfficeTitle
20,"Prague - Law",9,Czech,bmkOfficeTitle,"Allen & Overy (Czech Republic) LLP, organizační složka",OfficeTitle
21,"Shanghai",1,English (UK),bmkOfficeTitle,"Allen & Overy LLP, Shanghai office",OfficeTitle
23,"Tokyo",1,English (UK),bmkOfficeTitle,"",OfficeTitle
25,"Hong Kong - Admin",1,English (UK),bmkOfficeTitle,"Allen & Overy (Hong Kong) Limited",OfficeTitle
26,"Warsaw - Admin",1,English (UK),bmkOfficeTitle,"Utilco Sp. z o. o.",OfficeTitle
26,"Warsaw - Admin",5,Polish,bmkOfficeTitle,"Utilco Sp. z o. o.",OfficeTitle
27,"Warsaw - Law",1,English (UK),bmkOfficeTitle,"Allen & Overy,
A. Pędzich spółka komandytowa",OfficeTitle
27,"Warsaw - Law",5,Polish,bmkOfficeTitle,"Allen & Overy,
A. Pędzich spółka komandytowa",OfficeTitle
28,"Hamburg",1,English (UK),bmkOfficeTitle,"Allen & Overy LLP",OfficeTitle
28,"Hamburg",6,German,bmkOfficeTitle,"Allen & Overy LLP",OfficeTitle
29,"Rome",1,English (UK),bmkOfficeTitle," ",OfficeTitle
29,"Rome",4,Italian,bmkOfficeTitle," ",OfficeTitle
30,"Bangkok",1,English (UK),bmkOfficeTitle,"Allen & Overy (Thailand) Co., Ltd.",OfficeTitle
33,"Singapore - ASSPL",1,English (UK),bmkOfficeTitle,"Allen & Overy - Asian Shared Services (Pte.) Ltd.",OfficeTitle
34,"Düsseldorf",1,English (UK),bmkOfficeTitle,"Allen & Overy LLP",OfficeTitle
34,"Düsseldorf",6,German,bmkOfficeTitle,"Allen & Overy LLP",OfficeTitle
35,"Riyadh",1,English (UK),bmkOfficeTitle,"Abdulaziz AlGasim Law Firm
in association with Allen & Overy LLP",OfficeTitle
36,"Abu Dhabi",1,English (UK),bmkOfficeTitle,"Allen & Overy LLP",OfficeTitle
38,"Munich",1,English (UK),bmkOfficeTitle,"Allen & Overy LLP",OfficeTitle
38,"Munich",6,German,bmkOfficeTitle,"Allen & Overy LLP",OfficeTitle
40,"Doha",1,English (UK),bmkOfficeTitle,"Allen & Overy LLP",OfficeTitle
42,"Athens",1,English (UK),bmkOfficeTitle,"Allen & Overy (Greece) LLP",OfficeTitle
42,"Athens",16,Greek,bmkOfficeTitle,"Allen & Overy (Greece) LLP",OfficeTitle
43,"São Paulo",1,English (UK),bmkOfficeTitle,"Allen & Overy LLP - Consultores em Direito Estrangeiro/Direito Norte-Americano",OfficeTitle
43,"São Paulo",17,Portuguese (Brazil),bmkOfficeTitle,"Allen & Overy LLP - Consultores em Direito Estrangeiro/Direito Norte-Americano",OfficeTitle
45,"Sydney - Admin",1,English (UK),bmkOfficeTitle,"Allen & Overy (Australia) Pty Ltd",OfficeTitle
45,"Sydney - Admin",15,English (AUS),bmkOfficeTitle,"Allen & Overy (Australia) Pty Ltd",OfficeTitle
46,"Perth - Admin",1,English (UK),bmkOfficeTitle,"Allen & Overy (Australia) Pty Ltd",OfficeTitle
46,"Perth - Admin",15,English (AUS),bmkOfficeTitle,"Allen & Overy (Australia) Pty Ltd",OfficeTitle
47,"Sydney - Law",1,English (UK),bmkOfficeTitle,"Allen & Overy",OfficeTitle
47,"Sydney - Law",15,English (AUS),bmkOfficeTitle,"Allen & Overy",OfficeTitle
48,"Perth - Law",1,English (UK),bmkOfficeTitle,"Allen & Overy",OfficeTitle
48,"Perth - Law",15,English (AUS),bmkOfficeTitle,"Allen & Overy",OfficeTitle
49,"Mannheim",1,English (UK),bmkOfficeTitle,"Allen & Overy LLP",OfficeTitle
49,"Mannheim",6,German,bmkOfficeTitle,"Allen & Overy LLP",OfficeTitle
50,"Jakarta",1,English (UK),bmkOfficeTitle,"Ginting & Reksodiputro",OfficeTitle
50,"Jakarta",14,English (US),bmkOfficeTitle,"Ginting & Reksodiputro",OfficeTitle
54,"A&O Holdings",1,English (UK),bmkOfficeTitle,"Allen & Overy (Holdings) Limited",OfficeTitle
57,"Belfast - Law",1,English (UK),bmkOfficeTitle,"Allen & Overy LLP",OfficeTitle
58,"Belfast - Admin",1,English (UK),bmkOfficeTitle,"Allen & Overy (SSF) Limited",OfficeTitle
59,"Washington, D.C.",14,English (US),bmkOfficeTitle,"Allen & Overy LLP",OfficeTitle
61,"Casablanca",1,English (UK),bmkOfficeTitle,"Naciri & Associés Allen & Overy",OfficeTitle
61,"Casablanca",2,French,bmkOfficeTitle,"Naciri & Associés Allen & Overy",OfficeTitle
64,"Singapore - AOA",1,English (UK),bmkOfficeTitle,"",OfficeTitle
65,"Singapore",1,English (UK),bmkOfficeTitle,"Allen & Overy LLP",OfficeTitle
66,"Istanbul - Admin",1,English (UK),bmkOfficeTitle,"AO Büro Destek Hizmetleri Limited Şirketi",OfficeTitle
66,"Istanbul - Admin",18,Turkish,bmkOfficeTitle,"",OfficeTitle
67,"Istanbul - Law",1,English (UK),bmkOfficeTitle,"Allen & Overy Danışmanlık Hizmetleri Avukatlık Ortaklığı
",OfficeTitle
67,"Istanbul - Law",18,Turkish,bmkOfficeTitle,"",OfficeTitle
68,"Ho Chi Minh City",1,English (UK),bmkOfficeTitle,"Allen & Overy Legal (Vietnam) Limited Liability Company",OfficeTitle
68,"Ho Chi Minh City",19,Vietnamese,bmkOfficeTitle,"Công ty Luật TNHH trách nhiệm hữu hạn Allen & Overy (Việt Nam)",OfficeTitle
69,"Hanoi",1,English (UK),bmkOfficeTitle,"Allen & Overy Legal (Vietnam) LLC,
Hanoi Branch",OfficeTitle
69,"Hanoi",19,Vietnamese,bmkOfficeTitle,"Công Ty Luật TNHH Allen & Overy  
(Việt Nam), Chi nhánh Hà Nội",OfficeTitle
70,"Istanbul GE - Admin",1,English (UK),bmkOfficeTitle,"Gedik & Eraksoy Avukatlık Ortaklığı",OfficeTitle
70,"Istanbul GE - Admin",18,Turkish,bmkOfficeTitle,"Gedik & Eraksoy Avukatlık Ortaklığı",OfficeTitle
71,"Istanbul GE - Law",1,English (UK),bmkOfficeTitle,"Gedik & Eraksoy Avukatlık Ortaklığı",OfficeTitle
71,"Istanbul GE - Law",18,Turkish,bmkOfficeTitle,"Gedik & Eraksoy Avukatlık Ortaklığı",OfficeTitle
1,"Amsterdam",1,English (UK),bmkMarketingDisclaimer,"Allen & Overy LLP
Apollolaan 15, 1077 AB Amsterdam The Netherlands | Tel +31 (0)20 674 1000 | Fax +31 (0)20 674 1111 | www.allenovery.com
In this document, Allen & Overy means Allen & Overy LLP and/or its affiliated undertakings.  The term partner is used to refer to a member of Allen & Overy LLP or an employee or consultant with equivalent standing and qualifications or an individual with equivalent status in one of Allen & Overy LLP's affiliated undertakings.",MarketingDisclaimer
1,"Amsterdam",10,Dutch,bmkMarketingDisclaimer,"Allen & Overy LLP 
Apollolaan 15, 1077 AB Amsterdam The Netherlands | Tel +31 (0)20 674 1000 | Fax +31 (0)20 674 1111 | www.allenovery.com
In dit document staat Allen & Overy voor Allen & Overy LLP en/of de daaraan gelieerde ondernemingen.  De term partner wordt gebruikt als verwijzing naar een lid van Allen & Overy LLP dan wel een medewerker of consultant met vergelijkbare kwalificaties in een van de aan Allen & Overy LLP gelieerde ondernemingen.",MarketingDisclaimer
2,"Antwerp",1,English (UK),bmkMarketingDisclaimer,"Allen & Overy LLP
Uitbreidingstraat 80, B-2600 Antwerp Belgium | Tel +32 (0)3 287 7222 | Fax +32 (0)3 287 7244
Tervurenlaan 268A avenue de Tervueren, B-1150 Brussels Belgium | Tel +32 (0)2 780 2222 | Fax +32 (0)2 780 2244
www.allenovery.com
In this document, Allen & Overy means Allen & Overy LLP and/or its affiliated undertakings.  The term partner is used to refer to a member of Allen & Overy LLP or an employee or consultant with equivalent standing and qualifications or an individual with equivalent status in one of Allen & Overy LLP's affiliated undertakings.",MarketingDisclaimer
2,"Antwerp",6,German,bmkMarketingDisclaimer," ",MarketingDisclaimer
